symbol,date,marketCap
AZPN,2024-01-05,13264042770
AZPN,2024-01-04,13273597620
AZPN,2024-01-03,13239837150
AZPN,2024-01-02,13815676110
AZPN,2023-12-29,14023334850
AZPN,2023-12-28,14053273380
AZPN,2023-12-27,14094040740
AZPN,2023-12-26,14129712180
AZPN,2023-12-22,13909950630
AZPN,2023-12-21,13773634770
AZPN,2023-12-20,13485078300
AZPN,2023-12-19,13688915100
AZPN,2023-12-18,13704202860
AZPN,2023-12-15,13227097350
AZPN,2023-12-14,13164035340
AZPN,2023-12-13,12889492650
AZPN,2023-12-12,12662087220
AZPN,2023-12-11,12762731640
AZPN,2023-12-08,12675464010
AZPN,2023-12-07,12450606540
AZPN,2023-12-06,12370982790
AZPN,2023-12-05,12423215970
AZPN,2023-12-04,12885670710
AZPN,2023-12-01,12621319860
AZPN,2023-11-30,11991973740
AZPN,2023-11-29,11884959420
AZPN,2023-11-28,11679848640
AZPN,2023-11-27,11717431050
AZPN,2023-11-24,11842918080
AZPN,2023-11-22,11756287440
AZPN,2023-11-21,11711698140
AZPN,2023-11-20,11883048450
AZPN,2023-11-17,11698958340
AZPN,2023-11-16,11595765960
AZPN,2023-11-15,11495758530
AZPN,2023-11-14,11255613300
AZPN,2023-11-13,10592506710
AZPN,2023-11-10,10621171260
AZPN,2023-11-09,10409053590
AZPN,2023-11-08,10679774340
AZPN,2023-11-07,11214845940
AZPN,2023-11-06,10942851210
AZPN,2023-11-03,11150509950
AZPN,2023-11-02,10953043050
AZPN,2023-11-01,11172167610
AZPN,2023-10-31,11322497250
AZPN,2023-10-30,11391929160
AZPN,2023-10-27,11369634510
AZPN,2023-10-26,11465820000
AZPN,2023-10-25,11266442130
AZPN,2023-10-24,11427600600
AZPN,2023-10-23,11381737320
AZPN,2023-10-20,11524423080
AZPN,2023-10-19,12077330400
AZPN,2023-10-18,12286900110
AZPN,2023-10-17,12593929290
AZPN,2023-10-16,12640429560
AZPN,2023-10-13,12679922940
AZPN,2023-10-12,12772286490
AZPN,2023-10-11,13047466170
AZPN,2023-10-10,12898410510
AZPN,2023-10-09,12864013050
AZPN,2023-10-06,12914335260
AZPN,2023-10-05,12788848230
AZPN,2023-10-04,12818149770
AZPN,2023-10-03,12728971170
AZPN,2023-10-02,12943636800
AZPN,2023-09-29,13137798940
AZPN,2023-09-28,13190540520
AZPN,2023-09-27,12937123660
AZPN,2023-09-26,12778898920
AZPN,2023-09-25,12968639970
AZPN,2023-09-22,12776326160
AZPN,2023-09-21,12794335480
AZPN,2023-09-20,13214981740
AZPN,2023-09-19,12993724380
AZPN,2023-09-18,12789833150
AZPN,2023-09-15,12685636370
AZPN,2023-09-14,12850293010
AZPN,2023-09-13,12758960030
AZPN,2023-09-12,12662481530
AZPN,2023-09-11,12603308050
AZPN,2023-09-08,12547350520
AZPN,2023-09-07,12432862700
AZPN,2023-09-06,12133779350
AZPN,2023-09-05,12282356240
AZPN,2023-09-01,12488177040
AZPN,2023-08-31,12477886000
AZPN,2023-08-30,12576937260
AZPN,2023-08-29,12477886000
AZPN,2023-08-28,12550566470
AZPN,2023-08-25,12421285280
AZPN,2023-08-24,12350534380
AZPN,2023-08-23,12510045500
AZPN,2023-08-22,12465022200
AZPN,2023-08-21,12434149080
AZPN,2023-08-18,12338313770
AZPN,2023-08-17,12255985450
AZPN,2023-08-16,12510045500
AZPN,2023-08-15,12377548360
AZPN,2023-08-14,12323520400
AZPN,2023-08-11,12205173440
AZPN,2023-08-10,12182661790
AZPN,2023-08-09,12091972000
AZPN,2023-08-08,11903517330
AZPN,2023-08-07,12143427200
AZPN,2023-08-04,12118342790
AZPN,2023-08-03,12652190490
AZPN,2023-08-02,12749312180
AZPN,2023-08-01,11623086490
AZPN,2023-07-31,11480941500
AZPN,2023-07-28,11330435040
AZPN,2023-07-27,11127830190
AZPN,2023-07-26,11141980370
AZPN,2023-07-25,11194721950
AZPN,2023-07-24,11140693990
AZPN,2023-07-21,11067370330
AZPN,2023-07-20,11277050270
AZPN,2023-07-19,11489946160
AZPN,2023-07-18,11365810490
AZPN,2023-07-17,11392181280
AZPN,2023-07-14,11414692930
AZPN,2023-07-13,11445566050
AZPN,2023-07-12,11628232010
AZPN,2023-07-11,11270618370
AZPN,2023-07-10,11087952410
AZPN,2023-07-07,10878915660
AZPN,2023-07-06,10733554720
AZPN,2023-07-05,10805592000
AZPN,2023-07-03,10729052390
AZPN,2023-06-30,10780507590
AZPN,2023-06-29,10669063680
AZPN,2023-06-28,10577957940
AZPN,2023-06-27,10654848600
AZPN,2023-06-26,10474575540
AZPN,2023-06-23,10506236400
AZPN,2023-06-22,10631587560
AZPN,2023-06-21,10705247520
AZPN,2023-06-20,10748538900
AZPN,2023-06-16,10811860620
AZPN,2023-06-15,10778261340
AZPN,2023-06-14,10632233700
AZPN,2023-06-13,10713001200
AZPN,2023-06-12,10736908380
AZPN,2023-06-09,10576665660
AZPN,2023-06-08,10645156500
AZPN,2023-06-07,10687155600
AZPN,2023-06-06,10691032440
AZPN,2023-06-05,10624480020
AZPN,2023-06-02,10693617000
AZPN,2023-06-01,10658725440
AZPN,2023-05-31,10591526880
AZPN,2023-05-30,10555343040
AZPN,2023-05-26,10596696000
AZPN,2023-05-25,10718816460
AZPN,2023-05-24,10689740160
AZPN,2023-05-23,10912012320
AZPN,2023-05-22,11050932420
AZPN,2023-05-19,10926873540
AZPN,2023-05-18,10922350560
AZPN,2023-05-17,10895212680
AZPN,2023-05-16,10826075700
AZPN,2023-05-15,10778261340
AZPN,2023-05-12,10866782520
AZPN,2023-05-11,10756292580
AZPN,2023-05-10,10973395620
AZPN,2023-05-09,10924935120
AZPN,2023-05-08,11090993100
AZPN,2023-05-05,11150437980
AZPN,2023-05-04,10600572840
AZPN,2023-05-03,11583997920
AZPN,2023-05-02,11170468320
AZPN,2023-05-01,11403078720
AZPN,2023-04-28,11436678000
AZPN,2023-04-27,11300988600
AZPN,2023-04-26,14976879060
AZPN,2023-04-25,15011770620
AZPN,2023-04-24,15044077620
AZPN,2023-04-21,15168782640
AZPN,2023-04-20,15235981200
AZPN,2023-04-19,14737161120
AZPN,2023-04-18,14918080320
AZPN,2023-04-17,15166198080
AZPN,2023-04-14,15613326960
AZPN,2023-04-13,15701848140
AZPN,2023-04-12,15787784760
AZPN,2023-04-11,15345825000
AZPN,2023-04-10,15100291800
AZPN,2023-04-06,14601471720
AZPN,2023-04-05,14728115160
AZPN,2023-04-04,14847651060
AZPN,2023-04-03,14933587680
AZPN,2023-03-31,14788206180
AZPN,2023-03-30,14111272880
AZPN,2023-03-29,14072395280
AZPN,2023-03-28,13501542520
AZPN,2023-03-27,13402404640
AZPN,2023-03-24,12943001000
AZPN,2023-03-23,13266333040
AZPN,2023-03-22,13081016480
AZPN,2023-03-21,13166547200
AZPN,2023-03-20,12878852960
AZPN,2023-03-17,12926154040
AZPN,2023-03-16,13321409640
AZPN,2023-03-15,13214496240
AZPN,2023-03-14,14165053560
